,products,company,price,weight,star_rating,total_comments,flavours,price_per_100g,per_kg_sell,adult,chicken,wet,from_ocean,fish,tuna,salmon,mackerel,shrimps,milk,can,gravy,pouch,liver,grilled,turkey,ham,vegan
140,OEM SYSTEMS ME-O Cat food SEAFOOD 1.2 KGS,oem,,1.2,3.8,13.0,[],,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,"ProDiet, Mackerel cat Food, 1.5 kg","prodiet,",490.0,1.5,5.0,1.0,['Mackerel'],32.666666666666664,326.67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,ME-O Dry Kitten Food - Ocean Fish Flavor 6.8 KG,me-o,,6.8,4.3,263.0,"['Dry', 'Fish', 'Ocean', 'Kitten']",,,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,"Sheba Rich Premium Maguro & Bream Wet Cat Food Fish Mix for Adult (12 Pouches, 12 x 35g)",sheba,,0.42,4.6,118.0,"['Adult', 'Fish', 'Wet']",,,1.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
144,Schesir 45% Tuna and Mango Fruit Dinner Canned Wet Cat Food - 75g Each - Pack of 4,schesir,454.0,0.3,5.0,1.0,"['Tuna', 'Wet', 'Schesir']",151.33333333333334,1513.33,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,"Whiskas Wet Food for Adult Cats (1+Years), Salmon in Gravy Flavour, 48 Pouches (48 x 85g)",whiskas,2055.0,4.08,,,"['Adult', 'Wet', 'Gravy', 'Salmon']",50.367647058823536,,1.0,0.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
146,Applaws Cat Wet Food 70g Tender Tuna with Salmon in a Tasty Jelly (Pack of 16),applaws,2400.0,1.12,5.0,3.0,"['Tuna', 'Wet', 'Salmon', 'Jelly']",214.28571428571428,6428.57,0.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,PureVita GrainFree Chicken Entree Dry Cat Food - 15lb Bag,purevita,,0.015,,,"['Dry', 'Chicken', 'Grain']",,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
148,"ProDiet, Tuna cat Food, 1.5 kg","prodiet,",490.0,1.5,5.0,1.0,['Tuna'],32.666666666666664,326.67,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,"ProDiet, Gourmet Seafood cat Food, 1.5 kg","prodiet,",490.0,1.5,,,"['Sea', 'Seafood']",32.666666666666664,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,"Royal Canin Mother & Baby Dry Cat Food, 2000 g",royal,2050.0,2.0,4.5,1046.0,"['Dry', 'Canin']",102.5,1072150.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,"Halo Holistic Dry Cat Food for Kittens, Chicken and Chicken Liver Recipe, 6 LB Bag of Natural Kitten Food",halo,,0.006,,,"['Dry', 'Chicken', 'Kitten']",,,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
152,"Whiskas Pocket Cat Food - Ocean Fish, 480g Pouch",whiskas,240.0,0.48,4.8,5.0,"['Fish', 'Ocean']",50.0,2500.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
153,"FARMINA N&D Quinoa Skin and Coat Dry Cat Food, Adult, Grain-Free, 1.5-kg, Quail Coconut and Turmeric",farmina,2250.0,1.5,4.2,55.0,"['Dry', 'Adult', 'Grain', 'Grain-Free']",150.0,82500.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
154,"Whiskas Wet Cat Food for Adult Cats (1+Years), Tuna in Jelly Flavour, 48 Pouches (48 x 85g)",whiskas,2055.0,4.08,5.0,1.0,"['Adult', 'Tuna', 'Wet', 'Jelly']",50.367647058823536,503.68,1.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
155,"Whiskas Wet Cat Food, Tuna in Jelly, 85 g [Pack of 6]",whiskas,240.0,0.51,,,"['Tuna', 'Wet', 'Jelly']",47.05882352941177,,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,"Generic Let's Bite Active Kitten Dry Cat Food, Ocean Fish - 400g (Pack of 1)",generic,,0.4,,,"['Dry', 'Fish', 'Ocean', 'Kitten']",,,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,"Generic Let's Bite Active Kitten Dry Cat Food, Ocean Fish - 400g (Pack of 4)",generic,800.0,1.6,,,"['Dry', 'Fish', 'Ocean', 'Kitten']",50.0,,0.5,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Me-O Seafood Adult cat food 1.3 Kg,me-o,374.0,1.3,,,"['Adult', 'Sea', 'Seafood']",28.76923076923077,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
